customerID,gender,SeniorCitizen,Partner,Dependents,Full Name,Email Address,Home Address,Social Security Number,Credit Card Number,Marketing Segment
7590-VHVEG,Female,0,Yes,No,lFJPeoBwTA,DAQnicxTcR@example.com,jcdwCHZOyWUjlaY St,TzT-un-Amfa,cUioQVhbYhFGBZQf,hrlnoBbNaG
5575-GNVDE,Male,0,No,No,xvXqDGLDld,qEXSmdfjOs@example.com,eJxTGZfLzCKmwEf St,GUV-kJ-mqJh,kNCRIyRbnKRqnLVu,hJjeQrTAmm
3668-QPYBK,Male,0,No,No,gREuxEwOub,oiXrKHGlJC@example.com,GFwGisoXhmtrJea St,zfh-kS-AYFb,snlKDzQzPRCqpVqa,WQlzwjSxuU
7795-CFOCW,Male,0,No,No,uvngYznfkk,wHfeknpKIp@example.com,mTNlHQnFYFfNLwz St,JwP-jX-xsLE,zjGtaMwryxpYgCLJ,BsrlLUwKuR
9237-HQITU,Female,0,No,No,uTkjncvkLh,tWXmEFAVgr@example.com,oDrygXQbYGyNqic St,mqn-eo-FOaL,xPHCCFfuHQDwMfhM,moPLvGsGAg
9305-CDSKC,Female,0,No,No,kWjOyCuemC,mKYbsyvnmF@example.com,BpuOdvSUuDQLyLP St,sPr-Zd-SEFe,najnfEFxRhNBIzbN,oUrpGboNOt
1452-KIOVK,Male,0,No,Yes,OALGDfNcKu,OiTYhTSRRc@example.com,IgznghTbSurSEki St,FyX-SD-NEZU,IFmmEHBEGQrEfGQw,lePppUJTtI
6713-OKOMC,Female,0,No,No,sUAgcCnddO,OlmklGwEMl@example.com,eDCHtjKxaLmwsHs St,hZp-QC-HJYR,hUZZQxdBNBMscGzJ,BDiphZWpFT
7892-POOKP,Female,0,Yes,No,AXVfKfFnyl,FJGLmKHYQa@example.com,MbtIxSBwGXzXAME St,CMO-Jx-RnrR,mmbPPnvxiptvrTDs,bLWPUZsmGv
6388-TABGU,Male,0,No,Yes,zCaICnndza,mGJvggLFkD@example.com,YkMKpgmiUnKfbkW St,mYY-Kf-kBjV,ygZjBlfIiLgEMgsD,CcUFZZdHdX
